AVI,part,VRS,Part_No,lot,vrs_id,strips,CheckTime(min),OK,NG,ALL,filter rate,visper,AI,size,type,model,Date_Code
20211222,V1-10VP32907QA-4X-R1,2021/12/23,10VP32907QA,1135.0,[135-R12]_1,154,198.0,9798.0,3524.0,13322.0,0.74,V1,ON,18UM,4X,R1,
20211222,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/23,10VPJ5903MA,1036.0,[36-G10]_10_P1,90,16.0,1341.0,2043.0,3384.0,0.4,V3,ON,10UM,NO3,Z1,
20211222,V2-08VP32908RB-3X-R1,2021/12/22,08VP32908RB,1025.0,[1025-3X-R11]_1,51,6.0,0.0,5512.0,5512.0,0.0,V2,Unactivated,18UM,3X,R1,
20211222,V2-10VP32907QA-NO3-R1,2021/12/23,10VP32907QA,1135.0,[135-O4]_4,229,41.0,7842.0,8696.0,16538.0,0.47,V2,ON,18UM,NO3,R1,
20211222,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1005.0,[1005-o3]_3,230,20.0,0.0,6087.0,6087.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211222,V2-08VP32908RB-NO3-R1,2021/12/22,08VP32908RB,1005.0,[1005-B5]_5,230,45.0,0.0,14329.0,14329.0,0.0,V2,Unactivated,18UM,NO3,R1,
20211222,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/23,10VPJ5903MA,1036.0,[36-G10]_10_P2,90,9.0,1125.0,2340.0,3465.0,0.32,V3,ON,10UM,NO3,Z1,
20211222,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1005.0,[1005-o4]_4,230,31.0,0.0,9565.0,9565.0,0.0,V1,Unactivated,18UM,NO3,R1,
20211222,V3-08VPJ5905PB-10UM-NO3-Z1,2021/12/22,08VPJ5905PB,1025.0,[1025-Y3]_2_P1,110,27.0,0.0,3419.0,3419.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211222,V1-10VP32907QA-NO3-R1,2021/12/23,10VP32907QA,1135.0,[135-R3]_3,106,52.0,,,,,V1,OFF,18UM,NO3,R1,
20211222,V3-08VPJ5905PB-10UM-2X-Z1,2021/12/23,08VPJ5905PB,1025.0,[1025-Y7]_1_P1,16,4.0,261.0,991.0,1252.0,0.21,V3,ON,10UM,2X,Z1,
20211222,V3-08VPJ5905PB-10UM-NO3-Z1,2021/12/23,08VPJ5905PB,1025.0,[25-Y10]_5_P1,73,14.0,1217.0,2787.0,4004.0,0.3,V3,ON,10UM,NO3,Z1,
20211222,V4-08VPJ5905PB-10UM-NO3-Z1,2021/12/23,08VPJ5905PB,1025.0,[1025-B9]_6_P2,198,49.0,0.0,15064.0,15064.0,0.0,V4,Unactivated,10UM,NO3,Z1,
20211222,V4-10VPJ5903MA-10UM-NO3-Z1,2021/12/23,10VPJ5903MA,1036.0,[1036-O6]_6_P1,171,29.0,1093.0,7013.0,8106.0,0.13,V4,ON,10UM,NO3,Z1,
